Generation N dN
0 1.0000000000000004 0
1 2.9984976663158722 -0.0016477034888687792
2 7.728144541675622 -0.0018791688284128805
3 13.59573451395876 -0.0018791688283968933
4 19.765210828518249 -0.0018791688283578134
5 25.81257973975891 -0.0018791688283649188
6 31.524177191241442 -0.0018791688283649188
7 36.798756172893661 -0.0018791688283684715
8 41.598400637941829 -0.001879168828226363
9 45.922062365660736 -0.001879168828176625
10 49.790305999514153 -0.0018791688281553087
11 53.236136895819385 -0.0018791688281339924
12 56.299254220138891 -0.0018791688282192576
13 59.022131667045322 -0.0018791688282121521
14 61.447075421258255 -0.0018791688284395258
15 63.613961364904121 -0.0018791688283826824
16 65.558662380043884 -0.0018791688285034747
17 67.312250067136745 -0.0018791688284466312
18 68.900937092474237 -0.0018791688282476793
19 70.346547317997647 -0.0018791688282903118
20 71.667217414933376 -0.0018791688283045227
21 72.878095571743117 -0.0018791688279918839
22 73.991929514869696 -0.0018791688281197816
23 75.019529880755755 -0.0018791688281339924
24 75.970130619038471 -0.0018791688281197816
25 76.851671053626333 -0.0018791688279066188
26 77.671018813806768 -0.0018791688280060947
27 78.434147718441878 -0.0018791688281197816
28 79.14628096901059 -0.0018791688279208296
29 79.812007355864623 -0.0018791688277502994
30 80.435376275833789 -0.0018791688280487273
31 81.0199759709962 -0.0018791688280913599
32 81.568998374639023 -0.0018791688281482033
33 82.085293187068913 -0.0018791688279492513
34 82.571413229334112 -0.0018791688279208296
35 83.02965268680633 -0.0018791688277360885
36 83.462079520791391 -0.0018791688278213536
37 83.870563068800578 -0.0018791688277787211
38 84.256797653775294 -0.0018791688279350405
39 84.62232286564273 -0.0018791688278639862
40 84.96854105474506 -0.0018791688276934559
41 85.296732478381031 -0.0018791688277076668
42 85.608068463093858 -0.0018791688273381846
43 85.903622882175483 -0.001879168827494504
44 86.184382196857044 -0.0018791688272529194
45 86.45125426824869 -0.001879168827295552
46 86.705076113418912 -0.0018791688271818652
47 86.946620751388295 -0.0018791688272813412
48 87.17660326214498 -0.0018791688272244977
49 87.395686163013238 -0.0018791688273808171
50 87.604484191134773 -0.0018791688273666063
51 87.803568567785305 -0.0018791688271676543
52 87.993470809372184 -0.0018791688271534435
53 88.174686140771328 -0.0018791688270113349
54 88.347676558933202 -0.0018791688271676543
55 88.512873588161966 -0.0018791688273381846
56 88.670680762911161 -0.0018791688273808171
57 88.821475869234121 -0.0018791688275513474
58 88.965612972004408 -0.0018791688274802931
59 89.103424251571681 -0.0018791688274234497
60 89.235221670573452 -0.0018791688275087148
61 89.361298489073633 -0.0018791688274802931
62 89.481930644002048 -0.0018791688270539675
63 89.597378006968526 -0.0018791688271676543
64 89.707885532889421 -0.001879168827494504
65 89.813684310405591 -0.0018791688277502994
66 89.914992523843182 -0.0018791688278781971
67 90.012016335363199 -0.0018791688275513474
68 90.104950694990364 -0.0018791688275229257
69 90.193980085378058 -0.0018791688273666063
70 90.279279207409076 -0.0018791688275797691
71 90.361013612106419 -0.0018791688275229257
72 90.439340283732889 -0.0018791688274802931
73 90.514408178464663 -0.0018791688274376606
74 90.586358722578552 -0.0018791688274518714
75 90.655326273693504 -0.0018791688275229257
76 90.721438548260366 -0.001879168827395028
77 90.784817018182181 -0.0018791688274660823
78 90.845577279175032 -0.0018791688273523954
79 90.903829393224029 -0.00187916882759398
80 90.959678207279907 -0.001879168827494504
81 91.013223650123052 -0.0018791688275797691
82 91.064561009166297 -0.001879168827494504
83 91.11378118877937 -0.0018791688274376606
84 91.160970951591082 -0.0018791688274802931
85 91.206213144077751 -0.0018791688278213536
86 91.249586907640307 -0.0018791688278639862
87 91.29116787624622 -0.0018791688278071428
88 91.331028361630018 -0.0018791688277645102
89 91.369237526954038 -0.0018791688277787211
90 91.405861549744969 -0.0018791688279350405
91 91.440963774863008 -0.0018791688279066188
92 91.474604858185543 -0.0018791688278924079
93 91.506842901643452 -0.0018791688275797691
94 91.537733580182504 -0.0018791688277076668
95 91.567330261195181 -0.0018791688276934559
96 91.595684116909609 -0.001879168827494504
97 91.622844230199831 -0.0018791688273666063
98 91.648857694241926 -0.0018791688272813412
99 91.673769706413481 -0.0018791688273097629
100 91.697623656805533 -0.0018791688273097629
101 91.720461211690733 -0.0018791688271108109
102 91.742322392270964 -0.0018791688271534435
103 91.763245649008908 -0.0018791688271534435
104 91.783267931818187 -0.0018791688270966
105 91.802424756382592 -0.0018791688271676543
106 91.82075026684781 -0.0018791688271676543
107 91.838277295115873 -0.0018791688269544915
108 91.855037416960997 -0.0018791688267697504
109 91.871061005166482 -0.0018791688267413287
110 91.886377279871624 -0.0018791688267271178
111 91.901014356304756 -0.0018791688268550155
112 91.914999290068167 -0.0018791688268408047
113 91.928358120125907 -0.0018791688267271178
114 91.941115909637915 -0.0018791688266276418
115 91.953296784775148 -0.001879168826712907
116 91.964923971640047 -0.0018791688265565876
117 91.976019831402752 -0.0018791688263860573
118 91.986605893765343 -0.0018791688264571116
119 91.996702888856191 -0.0018791688262723705
120 92.006330777636336 -0.0018791688263576356
121 92.015508780921252 -0.0018791688260449968
122 92.024255407079238 -0.0018791688262865813
123 92.032588478499903 -0.0018791688263434247
124 92.040525156889387 -0.001879168826315003
125 92.048081967462196 -0.0018791688262013162
126 92.055274822092144 -0.0018791688259739425
127 92.062119041475384 -0.0018791688260307859
128 92.06862937636204 -0.0018791688260449968
129 92.074820027905304 -0.0018791688259170991
130 92.080704667170309 -0.0018791688256470929
131 92.086296453852825 -0.001879168825632882
132 92.091608054245683 -0.0018791688256755146
133 92.096651658489748 -0.0018791688257181471
134 92.101438997147667 -0.0018791688256897254
135 92.105981357135093 -0.0018791688255191952
136 92.110289597038403 -0.00187916882543393
137 92.114374161852098 -0.0018791688256044603
138 92.118245097164419 -0.0018791688255902494
139 92.121912062813053 -0.0018791688256755146
140 92.125384346044143 -0.0018791688256613037
141 92.128670874192451 -0.0018791688255618277
142 92.13178022690677 -0.0018791688254623518
143 92.134720647944448 -0.0018791688255191952
144 92.137500056551687 -0.0018791688254907735
145 92.140126058451855 -0.0018791688254765626
146 92.142605956457032 -0.001879168825533406
147 92.144946760722178 -0.0018791688254481409
148 92.147155198656137 -0.0018791688254765626
