Generation N dN
0 0.99999999999999967 0
1 2.9998340557245546 -0.00039781026297280864
2 7.7314204501602068 -0.00047290697646851232
3 13.601245635022448 -0.001109617222213477
4 19.773350910765526 -0.0016200263267044379
5 25.823752767874719 -0.0016200263266369364
6 31.538118542247851 -0.0016200263266333836
7 36.815119230182077 -0.0016200263265516712
8 41.616798199116985 -0.0016200263265232495
9 45.942111721639208 -0.0016200263266440418
10 49.811665296244726 -0.001620026326764834
11 53.258519595638845 -0.00162002632686431
12 56.322429017299619 -0.0016200263268358883
13 59.045918236047797 -0.0016200263268785209
14 61.471338599480212 -0.0016200263270916837
15 63.638603030133559 -0.0016200263275109039
16 65.583611677643361 -0.0016200263275109039
17 67.33745421994351 -0.0016200263276245908
18 68.926354656466231 -0.0016200263278235427
19 70.372144208184764 -0.001620026327596169
20 71.692964866982621 -0.0016200263275251148
21 72.903969047137252 -0.0016200263278093319
22 74.017907975854129 -0.0016200263276103799
23 75.045595235691607 -0.0016200263280224947
24 75.996267283968223 -0.0016200263279798621
25 76.877865601805212 -0.0016200263279656513
26 77.697259687320752 -0.0016200263280224947
27 78.4604249809029 -0.0016200263281219707
28 79.172586086538473 -0.001620026328093549
29 79.838333001159299 -0.0016200263279372296
30 80.461716154468547 -0.0016200263282214467
31 81.046324670081248 -0.0016200263283067118
32 81.595351233284745 -0.0016200263282640792
33 82.111646187165007 -0.0016200263280651273
34 82.597762904671711 -0.0016200263282640792
35 83.05599604853245 -0.0016200263284061878
36 83.488413997307561 -0.0016200263282072358
37 83.89688645840414 -0.0016200263282072358
38 84.283108088488063 -0.0016200263281361815
39 84.648618784710791 -0.0016200263280224947
40 84.994821186300868 -0.001620026327596169
41 85.322995827715829 -0.0016200263274398496
42 85.634314306049774 -0.0016200263274114279
43 85.92985076232695 -0.0016200263273972171
44 86.21059192544638 -0.0016200263272693194
45 86.477445926260302 -0.0016200263272693194
46 86.731250055595211 -0.0016200263270987891
47 86.972777612461272 -0.0016200263275535365
48 87.204856357418819 0.00049236509496075609
49 87.426103485739787 0.0026742111479806097
50 87.637133626407419 0.0049252732881982508
51 87.838517888988562 0.0072453187427371502
52 88.030787667590602 0.0096341132607066227
53 88.214438052660071 0.012091419844840412
54 88.389930894318908 0.014616998362957712
55 88.55769755766606 0.017210605341905771
56 88.718141405743296 0.019871993827355605
57 88.871640041303039 0.022600913270285683
58 89.018547334495821 0.025397109434042942
59 89.159195260126566 0.028260324315273588
60 89.293895565182993 0.031190296086440195
61 89.422941284785267 0.034186759051142768
62 89.546608122489459 0.037249443587005326
63 89.665155709024731 0.040378076102887017
64 89.778828751939216 0.04357237908836431
65 89.887858087177946 0.04683207130360223
66 89.992340125401768 0.050035351195181543
67 90.092481230270863 0.053184926567472313
68 90.188474858261472 0.05627916641434616
69 90.280504006373064 0.059316447046971699
70 90.368741897406679 0.06229515079508452
71 90.453352608235036 0.065213661852472238
72 90.534491650897692 0.06807036399961397
73 90.61230651062958 0.070863639903696263
74 90.686937144868836 0.073591872065141284
75 90.758516446828324 0.076253445444653845
76 90.827170676817687 0.07884675173537381
77 90.893019864135908 0.081370195177815741
78 90.956178181993053 0.083822199747506043
79 91.016754297608273 0.086201217471700953
80 91.074851699343384 0.088505737577155297
81 91.130569002496244 0.090734296125522529
82 91.184000235149256 0.092885485762200015
83 91.23316262587187 0.092885485762342124
84 91.280292062731888 0.092885485762313702
85 91.325471780209313 0.092885485762242648
86 91.368781277451163 0.092885485762242648
87 91.410296519391679 0.092885485762029485
88 91.450090124791487 0.092885485761958431
89 91.488231542276026 0.092885485762313702
90 91.524787215293429 0.09288548576211475
91 91.559820736790599 0.092885485762171593
92 91.593392994293637 0.092885485761986852
