Generation N
0 1.0000000000000004 0
1 2.9951653332322539 -0.0016751069326206292
2 8.9401669849408982 -0.0020173115695953925
3 25.842638056306306 -0.0020655998046592572
4 52.10226143961475 -0.0020655998046237301
5 82.269812735442656 -0.0020655998045313595
6 113.10737539692074 -0.0020655998046308355
7 142.91461088496689 -0.0020655998049434743
8 170.82217755569488 -0.0020655998051140045
9 196.42428217755764 -0.0020655998054834868
10 219.58749868887736 -0.0020655998050287394
11 240.34429785419289 -0.0020655998044887269
12 258.82863047079019 -0.0020655998037781842
13 275.23341198871873 -0.0020655998035508105
14 289.78022081906124 -0.0020655998037781842
15 302.69685833405885 -0.0020655998025844724
16 314.20120395946708 -0.0020655998042329315
17 324.49086934817899 -0.0020655998045739921
18 333.73811869200046 -0.0020655998059950775
19 342.08904905095852 -0.0020655998057108604
20 349.66562628225125 -0.0020655998058813907
21 356.56911785167125 -0.0020655998048582092
22 362.8837774013071 -0.0020655998040624013
23 368.68013289074025 -0.0020655998053129565
24 374.01766636268866 -0.0020655998053129565
25 378.94691935185057 -0.0020655998057677039
26 383.51113670290084 -0.0020655998051424262
27 387.74755800478766 -0.0020655998047445223
28 391.68844155419038 -0.0020655998041192447
29 395.36188366242089 -0.0020655998037781842
30 398.79247978214823 -0.0020655998046308355
31 402.00186219473682 -0.0020655998055403302
32 405.00914050668467 -0.0020655998051992697
33 407.83126498648409 -0.0020655998053129565
34 410.48332817054859 -0.0020655998052561131
35 412.97881672393862 -0.0020655998055971736
36 415.32982294190953 -0.0020655998062792946
37 417.54722329801928 -0.002065599806051921
38 419.64082992341707 -0.0020655998064498249
39 421.61951972455711 -0.002065599806336138
40 423.49134492845752 -0.002065599805654017
41 425.26362812395053 -0.0020655998050287394
42 426.94304429789128 -0.0020655998047445223
43 428.53569191262739 -0.0020655998062224512
44 430.04715470907661 -0.002065599807416163
45 431.48255562867723 -0.0020655998079845972
46 432.84660401224528 -0.0020655998087235616
47 434.14363704253623 -0.0020655998095193695
48 435.3776562410286 -0.0020655998095193695
49 436.55235970105468 -0.0020655998097467432
50 437.67117063339185 -0.002065599809178309
51 438.73726271244874 -0.0020655998089509353
52 439.75358263800081 -0.0020655998074730064
53 440.72287026625145 -0.0020655998070751025
54 441.64767661291557 -0.0020655998068477288
55 442.53037998802881 -0.0020655998063929815
56 443.37320048619529 -0.0020655998064498249
57 444.17821302553807 -0.0020655998059950775
58 444.94735910288546 -0.0020655998073024762
59 445.68245741095905 -0.0020655998064498249
60 446.3852134446181 -0.0020655998059382341
61 447.05722820737452 -0.0020655998058813907
62 447.70000611565007 -0.0020655998065066683
63 448.3149621864506 -0.0020655998058813907
64 448.90342858387328 -0.0020655998051424262
65 449.46666059101096 -0.0020655998030960632
66 450.00584206600917 -0.0020655998042329315
67 450.52209043430969 -0.0020655998057108604
68 451.01646126309498 -0.0020655998067908854
69 451.48995245880377 -0.0020655998079845972
70 451.94350812398108 -0.0020655998076435367
71 452.37802210567452 -0.0020655998078709104
72 452.79434126412781 -0.0020655998066771986
73 453.19326848734369 -0.002065599806734042
74 453.57556547446688 -0.0020655998066203551
75 453.94195530847196 -0.002065599807416163
76 454.29312483663585 -0.0020655998073593196
77 454.62972687538655 -0.0020655998062792946
78 454.95238225453875 -0.0020655998058813907
79 455.26168171449291 -0.0020655998059950775
80 455.55818766868089 -0.002065599806336138
81 455.84243584243842 -0.0020655998066771986
82 456.11493679842505 -0.0020655998066771986
83 456.3761773578122 -0.0020655998079277538
84 456.62662192562055 -0.0020655998094625261
85 456.866713727812 -0.0020655998092919958
86 457.09687596704788 -0.0020655998091214656
87 457.31751290343306 -0.0020655998101446471
88 457.52901086593789 -0.0020655998101446471
89 457.73173919971049 -0.0020655998096898998
90 457.92605115400823 -0.0020655998097467432
91 458.11228471507991 -0.0020655998092351524
92 458.29076338789656 -0.0020655998085530314
93 458.46179693035151 -0.0020655998083256577
94 458.62568204320689 -0.0020655998089509353
95 458.78270301880042 -0.0020655998098035866
96 458.93313235128312 -0.0020655998102583339
97 459.07723131094326 -0.0020655998103720208
98 459.21525048497551 -0.0020655998098035866
99 459.34743028687609 -0.0020655998106562379
100 459.47400143649713 -0.0020655998113383589
101 459.59518541262855 -0.002065599810542551
102 459.71119487986743 -0.0020655998113383589
103 459.82223409142728 -0.0020655998111678286
104 459.92849926938089 -0.0020655998105993945
105 460.03017896379077 -0.0020655998103151774
106 460.12745439205446 -0.0020655998104288642
107 460.22049975971339 -0.0020655998098035866
108 460.30948256388609 -0.0020655998104857076
109 460.39456388044943 -0.0020655998096898998
110 460.47589863594453 -0.0020655998096330563
111 460.55363586522509 -0.0020655998079277538
112 460.62791895568552 -0.0020655998082119709
113 460.69888587895804 -0.0020655998073024762
114 460.76666941082004 -0.0020655998068477288
115 460.83139734007813 -0.0020655998071319459
116 460.89319266708873 -0.0020655998061656078
117 460.95217379254507 -0.0020655998059382341
118 461.00845469715944 -0.002065599806051921
119 461.06214511275448 -0.0020655998054266433
120 461.11335068529013 -0.0020655998070182591
121 461.16217313033138 -0.0020655998065635117
122 461.20871038134544 -0.0020655998075298498
123 461.25305673131356 -0.0020655998079277538
124 461.29530296798413 -0.0020655998089509353
125 461.33553650316827 -0.0020655998102014905
126 461.37384149639144 -0.0020655998102014905
127 461.41029897321806 -0.0020655998100878037
128 461.44498693855132 -0.0020655998094625261
129 461.4779804851666 -0.0020655998103720208
130 461.50935189775009 -0.0020655998115657326
131 461.53917075266378 -0.0020655998113952023
132 461.56750401366946 -0.002065599810542551
133 461.59441612382011 -0.0020655998102583339
134 461.61996909372135 -0.0020655998109972984
135 461.64422258633715 -0.0020655998103720208
136 461.66723399851247 -0.0020655998108836116
137 461.68905853939094 -0.0020655998111109852
138 461.70974930586459 -0.0020655998120204799
139 461.72935735520929 -0.0020655998114520457
140 461.74793177504017 -0.0020655998112815155
141 461.76551975071959 -0.0020655998119067931
142 461.78216663032975 -0.0020655998124183839
143 461.79791598733965 -0.0020655998115657326
144 461.81280968104636 -0.002065599812304697
145 461.82688791494178 -0.0020655998121341668
146 461.84018929304636 -0.0020655998121910102
147 461.85275087433536 -0.0020655998133278786
148 461.8646082253436 -0.0020655998136120957
149 461.87579547100347 -0.002065599814066843
150 461.88634534383118 -0.0020655998144647469
151 461.89628923149797 -0.0020655998144079035
152 461.90565722288329 -0.0020655998145215904
153 461.91447815265241 -0.0020655998154879285
154 461.92277964443798 -0.0020655998169658574
155 461.93058815267671 -0.0020655998163974232
156 461.93792900313372 -0.0020655998179321955
157 461.94482643221909 -0.0020655998182164126
158 461.9513036250824 -0.0020655998188985336
159 461.95738275258134 -0.0020655998177048218
160 461.96308500712712 -0.0020655998174206047
161 461.96843063749253 -0.0020655998172500745
162 461.973438982571 -0.0020655998163405798
163 461.97812850415238 -0.0020655998172500745
164 461.98251681876656 -0.0020655998160563627
165 461.98662072855853 -0.0020655998172500745
166 461.99045625132203 -0.0020655998173069179
167 461.99403864962517 -0.0020655998177048218
168 461.99738245912107 -0.0020655998188416902
169 462.00050151604268 -0.0020655998186711599
170 462.00340898389646 -0.0020655998183869428
171 462.00611737939846 -0.0020655998188416902
172 462.00863859765946 -0.002065599818955377
173 462.01098393664563 -0.0020655998190690639
174 462.01316412092189 -0.0020655998190690639
175 462.01518932471123 -0.002065599819353281
176 462.01706919427744 -0.0020655998205469928
177 462.0188128696455 -0.002065599820717523
178 462.02042900568046 -0.0020655998208312099
179 462.02192579252772 -0.0020655998215701743
180 462.023310975448 -0.0020655998214564875
181 462.02459187403605 -0.0020655998208312099
182 462.02577540085287 -0.0020655998205469928
183 462.0268680794764 -0.0020655998205469928
184 462.02787606197836 -0.0020655998203764625
185 462.02880514584143 -0.0020655998212291138
186 462.02966079034098 -0.0020655998208312099
187 462.03044813236318 -0.0020655998221386085
188 462.03117200172517 -0.0020655998220817651
189 462.03183693594582 -0.0020655998222522953
190 462.03244719452687 -0.0020655998218543914
